no_of_dots,specialSymbol,lengthOfURL,suspiciousWords,prefixSuffix,countOfHttp,shorteningService,has_data_uri,check_ssl_certificate,fake_login_form,countPages,missingHyperlink,count_foreign_links,count_empty_links,count_error_links,count_redirection_links,has_foreign_css,check_favicon,google_index,httpDomain,label
0,0,0,0,0,0,0,0,0,1,40,0,1,0,0,0,0,0,1,0,0
0,0,0,0,0,0,1,0,0,0,128,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,368,0,1,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,1,245,0,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,106,0,0,0,0,1,1,0,0,0,0
1,0,0,0,0,0,0,0,0,0,15,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,107,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,211,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,0,212,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,206,0,1,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,1,89,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,142,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,108,0,0,0,1,1,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,34,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,221,0,0,0,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,129,0,1,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,176,0,0,0,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,179,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,1,1,1,0,0,0
0,0,0,0,1,0,0,1,0,0,440,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,249,0,0,0,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,64,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,174,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,116,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,115,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
1,0,0,0,0,0,1,0,0,0,2,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,163,1,1,1,1,1,0,0,1,0,0
0,0,0,0,1,0,0,0,0,1,136,0,1,0,0,1,1,1,0,0,0
0,0,1,0,1,0,0,0,0,0,88,0,0,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,0,0,0,110,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,37,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,1,0,1,1,0,0
0,0,0,0,0,0,0,0,0,0,97,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,8,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,72,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,1,110,0,0,0,1,1,1,1,0,0,0
0,0,0,0,0,0,0,0,0,0,71,0,0,0,1,1,1,0,0,0,0
0,0,0,0,1,0,0,0,0,0,42,0,0,0,1,1,0,1,1,0,0
0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,1,1,1,0,0,0
0,0,0,0,0,0,0,1,0,0,182,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,1,0,0,1,341,0,1,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,325,0,1,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,219,0,0,0,0,1,1,0,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,78,0,0,0,1,1,1,1,0,0,0
0,0,0,0,1,0,0,1,0,1,187,0,1,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,1,145,0,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
0,0,0,0,0,0,1,0,0,0,107,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,284,0,0,0,1,1,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,99,0,0,0,1,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,80,0,0,0,0,1,1,1,0,0,0
0,0,1,0,0,0,0,1,0,1,190,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,1,0,1,20,0,1,0,1,1,0,1,1,0,0
0,0,0,0,1,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,1,1,1,1,100,1,1,1,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0
0,0,0,0,0,0,0,0,0,1,67,0,0,0,0,1,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,82,0,0,0,0,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,1,166,0,0,0,1,1,1,1,0,0,0
